Season,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal,Country,Population
summer,1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",Men,100M Freestyle,Gold,Hungary,9844686.0
summer,1896,Athens,Aquatics,Swimming,"HERSCHMANN, Otto",Men,100M Freestyle,Silver,Austria,8611088.0
summer,1896,Athens,Aquatics,Swimming,"DRIVAS, Dimitrios",Men,100M Freestyle For Sailors,Bronze,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",Men,100M Freestyle For Sailors,Gold,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"CHASAPIS, Spiridon",Men,100M Freestyle For Sailors,Silver,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,1200M Freestyle,Bronze,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",Men,1200M Freestyle,Gold,Hungary,9844686.0
summer,1896,Athens,Aquatics,Swimming,"ANDREOU, Joannis",Men,1200M Freestyle,Silver,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"CHOROPHAS, Efstathios",Men,400M Freestyle,Bronze,Greece,10823732.0
summer,1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",Men,400M Freestyle,Gold,Austria,8611088.0
summer,1896,Athens,Aquatics,Swimming,"PEPANOS, Antonios",Men,400M Freestyle,Silver,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"LANE, Francis",Men,100M,Bronze,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"SZOKOLYI, Alajos",Men,100M,Bronze,Hungary,9844686.0
summer,1896,Athens,Athletics,Athletics,"BURKE, Thomas",Men,100M,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"HOFMANN, Fritz",Men,100M,Silver,Germany,81413145.0
summer,1896,Athens,Athletics,Athletics,"CURTIS, Thomas",Men,110M Hurdles,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"GOULDING, Grantley",Men,110M Hurdles,Silver,United Kingdom,65138232.0
summer,1896,Athens,Athletics,Athletics,"LERMUSIAUX, Albin",Men,1500M,Bronze,France,66808385.0
summer,1896,Athens,Athletics,Athletics,"FLACK, Edwin",Men,1500M,Gold,Australia,23781169.0
summer,1896,Athens,Athletics,Athletics,"BLAKE, Arthur",Men,1500M,Silver,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"GMELIN, Charles",Men,400M,Bronze,United Kingdom,65138232.0
summer,1896,Athens,Athletics,Athletics,"BURKE, Thomas",Men,400M,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"JAMISON, Herbert",Men,400M,Silver,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"GOLEMIS, Dimitrios",Men,800M,Bronze,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"FLACK, Edwin",Men,800M,Gold,Australia,23781169.0
summer,1896,Athens,Athletics,Athletics,"DANI, Nandor",Men,800M,Silver,Hungary,9844686.0
summer,1896,Athens,Athletics,Athletics,"VERSIS, Sotirios",Men,Discus Throw,Bronze,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Discus Throw,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"PARASKEVOPOULOS, Panagiotis",Men,Discus Throw,Silver,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"CLARK, Ellery",Men,High Jump,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"CONNOLLY, James",Men,High Jump,Silver,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"GARRETT, Robert",Men,High Jump,Silver,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"CONNOLLY, James",Men,Long Jump,Bronze,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"CLARK, Ellery",Men,Long Jump,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Long Jump,Silver,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"KELLNER, Gyula",Men,Marathon,Bronze,Hungary,9844686.0
summer,1896,Athens,Athletics,Athletics,"LOUIS, Spyridon",Men,Marathon,Gold,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"VASILAKOS, Kharilaos",Men,Marathon,Silver,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"DAMASKOS, Evangelos",Men,Pole Vault,Bronze,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"THEODOROPOULOS, Ioannis",Men,Pole Vault,Bronze,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"HOYT, William Welles",Men,Pole Vault,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"TYLER, Albert",Men,Pole Vault,Silver,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"PAPASIDERIS, Georgios",Men,Shot Put,Bronze,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"GARRETT, Robert",Men,Shot Put,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"GOUSKOS, Miltiadis",Men,Shot Put,Silver,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"PERSAKIS, Ioannis",Men,Triple Jump,Bronze,Greece,10823732.0
summer,1896,Athens,Athletics,Athletics,"CONNOLLY, James",Men,Triple Jump,Gold,United States,321418820.0
summer,1896,Athens,Athletics,Athletics,"TUFFERI, Alexandre",Men,Triple Jump,Silver,France,66808385.0
summer,1896,Athens,Cycling,Cycling Road,"BATTEL, Edward",Men,Individual Road Race,Bronze,United Kingdom,65138232.0
summer,1896,Athens,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",Men,Individual Road Race,Gold,Greece,10823732.0
summer,1896,Athens,Cycling,Cycling Road,"GOEDRICH, August",Men,Individual Road Race,Silver,Germany,81413145.0
summer,1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,100KM,Gold,France,66808385.0
summer,1896,Athens,Cycling,Cycling Track,"KOLETTIS, Georgios",Men,100KM,Silver,Greece,10823732.0
summer,1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,10KM,Bronze,Austria,8611088.0
summer,1896,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,10KM,Gold,France,66808385.0
summer,1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,10KM,Silver,France,66808385.0
summer,1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,12-Hour Race,Gold,Austria,8611088.0
summer,1896,Athens,Cycling,Cycling Track,"KEEPING, Frank",Men,12-Hour Race,Silver,United Kingdom,65138232.0
summer,1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Men,1KM Time Trial,Bronze,Austria,8611088.0
summer,1896,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,1KM Time Trial,Gold,France,66808385.0
summer,1896,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Men,1KM Time Trial,Silver,Greece,10823732.0
summer,1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",Men,Sprint Indivual,Bronze,France,66808385.0
summer,1896,Athens,Cycling,Cycling Track,"MASSON, Paul",Men,Sprint Indivual,Gold,France,66808385.0
summer,1896,Athens,Cycling,Cycling Track,"NIKOLOPOULOS, Stamatios",Men,Sprint Indivual,Silver,Greece,10823732.0
summer,1896,Athens,Fencing,Fencing,"PIERRAKOS-MAVROMICHALIS, Perikles",Men,Foil Individual,Bronze,Greece,10823732.0
summer,1896,Athens,Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",Men,Foil Individual,Gold,France,66808385.0
summer,1896,Athens,Fencing,Fencing,"CALLOT, Henri",Men,Foil Individual,Silver,France,66808385.0
summer,1896,Athens,Fencing,Fencing,"PYRGOS, Leonidas",Men,"Foil, Masters",Gold,Greece,10823732.0
summer,1896,Athens,Fencing,Fencing,"PERRONNET, Maurice",Men,"Foil, Masters",Silver,France,66808385.0
summer,1896,Athens,Fencing,Fencing,"NIELSEN, Holger",Men,Sabre Individual,Bronze,Denmark,5676002.0
summer,1896,Athens,Fencing,Fencing,"GEORGIADIS, Ioannis",Men,Sabre Individual,Gold,Greece,10823732.0
summer,1896,Athens,Fencing,Fencing,"KARAKALOS, Telemachos",Men,Sabre Individual,Silver,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,Horizontal Bar,Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,Horizontal Bar,Silver,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,Parallel Bars,Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",Men,Parallel Bars,Silver,Switzerland,8286976.0
summer,1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",Men,Pommel Horse,Gold,Switzerland,8286976.0
summer,1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,Pommel Horse,Silver,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"PERSAKIS, Petros",Men,Rings,Bronze,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",Men,Rings,Gold,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,Rings,Silver,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",Men,Rope Climbing,Bronze,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",Men,Rope Climbing,Gold,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"XENAKIS, Thomasios",Men,Rope Climbing,Silver,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"BÖCKER, Konrad",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"RÖSTEL, Richard",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,"Team, Horizontal Bar",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"CHRYSAPHIS, Ioannis",Men,"Team, Parallel Bars",Bronze,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"KARVELAS, Phillippos",Men,"Team, Parallel Bars",Bronze,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"LOUNDRAS, Dimitrios",Men,"Team, Parallel Bars",Bronze,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"MITROPOULOS, Ioannis",Men,"Team, Parallel Bars",Bronze,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"BÖCKER, Konrad",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"FLATOW, Alfred",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"FLATOW, Gustav Felix",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"HILMAR, Georg",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"HOFMANN, Fritz",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"MANTEUFFEL, Fritz",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"NEUKIRCH, Karl",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"RÖSTEL, Richard",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"SCHUFT, Gustav",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,"Team, Parallel Bars",Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"ANDRIAKOPOULOS, Nicolaos",Men,"Team, Parallel Bars",Silver,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"ATHANASOPOULOS, Spyros",Men,"Team, Parallel Bars",Silver,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"PERSAKIS, Petros",Men,"Team, Parallel Bars",Silver,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"XENAKIS, Thomasios",Men,"Team, Parallel Bars",Silver,Greece,10823732.0
summer,1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Men,Vault,Bronze,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"SCHUMANN, Carl",Men,Vault,Gold,Germany,81413145.0
summer,1896,Athens,Gymnastics,Artistic G.,"ZUTTER, Louis",Men,Vault,Silver,Switzerland,8286976.0
summer,1896,Athens,Shooting,Shooting,"MORAKIS, Nikolaos",Men,25M Army Pistol,Bronze,Greece,10823732.0
summer,1896,Athens,Shooting,Shooting,"PAINE, John",Men,25M Army Pistol,Gold,United States,321418820.0
summer,1896,Athens,Shooting,Shooting,"PAINE, Sumner",Men,25M Army Pistol,Silver,United States,321418820.0
summer,1896,Athens,Shooting,Shooting,"NIELSEN, Holger",Men,25M Rapid Fire Pistol (60 Shots),Bronze,Denmark,5676002.0
summer,1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",Men,25M Rapid Fire Pistol (60 Shots),Gold,Greece,10823732.0
summer,1896,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",Men,25M Rapid Fire Pistol (60 Shots),Silver,Greece,10823732.0
summer,1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",Men,50M Pistol (60 Shots),Bronze,Greece,10823732.0
summer,1896,Athens,Shooting,Shooting,"PAINE, Sumner",Men,50M Pistol (60 Shots),Gold,United States,321418820.0
summer,1896,Athens,Shooting,Shooting,"NIELSEN, Holger",Men,50M Pistol (60 Shots),Silver,Denmark,5676002.0
summer,1896,Athens,Shooting,Shooting,"TRIKUPIS, Nicolaos",Men,"Army Rifle, 200M",Bronze,Greece,10823732.0
summer,1896,Athens,Shooting,Shooting,"KARASEVDAS, Pantelis",Men,"Army Rifle, 200M",Gold,Greece,10823732.0
summer,1896,Athens,Shooting,Shooting,"PAVLIDIS, Pavlos",Men,"Army Rifle, 200M",Silver,Greece,10823732.0
summer,1896,Athens,Shooting,Shooting,"JENSEN, Viggo",Men,"Army Rifle, 300M",Bronze,Denmark,5676002.0
summer,1896,Athens,Shooting,Shooting,"ORPHANIDIS, Georgios",Men,"Army Rifle, 300M",Gold,Greece,10823732.0
summer,1896,Athens,Shooting,Shooting,"PHRANGOUDIS, Joannis",Men,"Army Rifle, 300M",Silver,Greece,10823732.0
summer,1896,Athens,Tennis,Tennis,"FLACK, Edwin",Men,Doubles,Bronze,,
summer,1896,Athens,Tennis,Tennis,"ROBERTSON, George Stuart",Men,Doubles,Bronze,,
summer,1896,Athens,Tennis,Tennis,"BOLAND, John",Men,Doubles,Gold,,
summer,1896,Athens,Tennis,Tennis,"TRAUN, Friedrich",Men,Doubles,Gold,,
summer,1896,Athens,Tennis,Tennis,"KASDAGLIS, Dionysios",Men,Doubles,Silver,,
summer,1896,Athens,Tennis,Tennis,"PETROKOKKINOS, Demetrios",Men,Doubles,Silver,,
summer,1896,Athens,Tennis,Tennis,"PASPATIS, Konstantinos",Men,Singles,Bronze,Greece,10823732.0
summer,1896,Athens,Tennis,Tennis,"TAPAVICZA, Momcsillo",Men,Singles,Bronze,Hungary,9844686.0
summer,1896,Athens,Tennis,Tennis,"BOLAND, John",Men,Singles,Gold,United Kingdom,65138232.0
summer,1896,Athens,Tennis,Tennis,"KASDAGLIS, Dionysios",Men,Singles,Silver,Greece,10823732.0
summer,1896,Athens,Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",Men,Heavyweight - One Hand Lift,Bronze,Greece,10823732.0
summer,1896,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",Men,Heavyweight - One Hand Lift,Gold,United Kingdom,65138232.0
summer,1896,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",Men,Heavyweight - One Hand Lift,Silver,Denmark,5676002.0
summer,1896,Athens,Weightlifting,Weightlifting,"VERSIS, Sotirios",Men,Heavyweight - Two Hand Lift,Bronze,Greece,10823732.0
summer,1896,Athens,Weightlifting,Weightlifting,"JENSEN, Viggo",Men,Heavyweight - Two Hand Lift,Gold,Denmark,5676002.0
summer,1896,Athens,Weightlifting,Weightlifting,"ELLIOTT, Launceston",Men,Heavyweight - Two Hand Lift,Silver,United Kingdom,65138232.0
summer,1896,Athens,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",Men,Open Event,Bronze,Greece,10823732.0
summer,1896,Athens,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",Men,Open Event,Gold,Germany,81413145.0
summer,1896,Athens,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",Men,Open Event,Silver,Greece,10823732.0
summer,1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Men,1500M Freestyle,Bronze,Hungary,9844686.0
summer,1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",Men,1500M Freestyle,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Swimming,"WAHLE, Otto",Men,1500M Freestyle,Silver,Austria,8611088.0
summer,1900,Paris,Aquatics,Swimming,"DROST, Johannes",Men,200M Backstroke,Bronze,Netherlands,16936520.0
summer,1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",Men,200M Backstroke,Gold,Germany,81413145.0
summer,1900,Paris,Aquatics,Swimming,"RUBERL, Karl",Men,200M Backstroke,Silver,Austria,8611088.0
summer,1900,Paris,Aquatics,Swimming,"RUBERL, Karl",Men,200M Freestyle,Bronze,Austria,8611088.0
summer,1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",Men,200M Freestyle,Gold,Australia,23781169.0
summer,1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Men,200M Freestyle,Silver,Hungary,9844686.0
summer,1900,Paris,Aquatics,Swimming,"KEMP, Peter",Men,200M Obstacle Event,Bronze,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",Men,200M Obstacle Event,Gold,Australia,23781169.0
summer,1900,Paris,Aquatics,Swimming,"WAHLE, Otto",Men,200M Obstacle Event,Silver,Austria,8611088.0
summer,1900,Paris,Aquatics,Swimming,HOUBEN,Men,200M Team Swimming,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"LEUILLIEUX, Jean",Men,200M Team Swimming,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"MARTIN, Louis",Men,200M Team Swimming,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"MERCHEZ, Désiré",Men,200M Team Swimming,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,TARTARA,Men,200M Team Swimming,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"FREY, Julius",Men,200M Team Swimming,Gold,Germany,81413145.0
summer,1900,Paris,Aquatics,Swimming,"HAINLE, Max",Men,200M Team Swimming,Gold,Germany,81413145.0
summer,1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",Men,200M Team Swimming,Gold,Germany,81413145.0
summer,1900,Paris,Aquatics,Swimming,"SCHÖNE, Max",Men,200M Team Swimming,Gold,Germany,81413145.0
summer,1900,Paris,Aquatics,Swimming,"VON PETERSDORFF, Herbert",Men,200M Team Swimming,Gold,Germany,81413145.0
summer,1900,Paris,Aquatics,Swimming,BERTRAND,Men,200M Team Swimming,Silver,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,CADET,Men,200M Team Swimming,Silver,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"HOCHEPIED, Maurice",Men,200M Team Swimming,Silver,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"HOCHEPIED, Victor",Men,200M Team Swimming,Silver,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,VERBECKE,Men,200M Team Swimming,Silver,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"MARTIN, Louis",Men,4000M Freestyle,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",Men,4000M Freestyle,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",Men,4000M Freestyle,Silver,Hungary,9844686.0
summer,1900,Paris,Aquatics,Swimming,"LYKKEBERG, Peder",Men,Underwater Swimming,Bronze,Denmark,5676002.0
summer,1900,Paris,Aquatics,Swimming,"DE VENDEVILLE, Charles",Men,Underwater Swimming,Gold,France,66808385.0
summer,1900,Paris,Aquatics,Swimming,"SIX, André",Men,Underwater Swimming,Silver,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"BURGESS, Thomas",Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,COULON,Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"DECUYPER, Alphonse",Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,DEVENOT,Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,FARDELLE,Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,FAVIER,Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"LAUFRAY, Louis",Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,LERICHE,Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"MARTIN, Louis",Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"MERCHEZ, Désiré",Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"PESLIER, Henri",Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,PESLOY,Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"TREFFEL, Charles",Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"VASSEUR, Paul",Men,Water Polo,Bronze,France,66808385.0
summer,1900,Paris,Aquatics,Water polo,"COE, Thomas",Men,Water Polo,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Water polo,"DERBYSHIRE, John Henry",Men,Water Polo,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Water polo,"KEMP, Peter",Men,Water Polo,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Water polo,"LISTER, William",Men,Water Polo,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Water polo,"ROBERTSON, Arthur",Men,Water Polo,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Water polo,"ROBINSON, Eric",Men,Water Polo,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Water polo,"WILKINSON, George",Men,Water Polo,Gold,United Kingdom,65138232.0
summer,1900,Paris,Aquatics,Water polo,"COHEN, Henri",Men,Water Polo,Silver,Belgium,11285721.0
summer,1900,Paris,Aquatics,Water polo,"DE BACKER, Jean",Men,Water Polo,Silver,Belgium,11285721.0
summer,1900,Paris,Aquatics,Water polo,"DE BEHR, Victor",Men,Water Polo,Silver,Belgium,11285721.0
summer,1900,Paris,Aquatics,Water polo,"FEYAERTS, Fernand",Men,Water Polo,Silver,Belgium,11285721.0
summer,1900,Paris,Aquatics,Water polo,"GREGOIRE, Oscar",Men,Water Polo,Silver,Belgium,11285721.0
summer,1900,Paris,Aquatics,Water polo,"MICHANT, Albert",Men,Water Polo,Silver,Belgium,11285721.0
summer,1900,Paris,Aquatics,Water polo,"SONNEMANS, Victor",Men,Water Polo,Silver,Belgium,11285721.0
summer,1900,Paris,Archery,Archery,"PETIT, Charles Frédéric",Men,"Au Chapelet, 33M",Bronze,France,66808385.0
summer,1900,Paris,Archery,Archery,"VAN INNIS, Hubert",Men,"Au Chapelet, 33M",Gold,Belgium,11285721.0
summer,1900,Paris,Archery,Archery,"THIBAUD, Victor",Men,"Au Chapelet, 33M",Silver,France,66808385.0
summer,1900,Paris,Archery,Archery,"MERCIER, Emile",Men,"Au Chapelet, 50M",Bronze,France,66808385.0
summer,1900,Paris,Archery,Archery,"MOUGIN, Eugène",Men,"Au Chapelet, 50M",Gold,France,66808385.0
summer,1900,Paris,Archery,Archery,"HELLE, Henri",Men,"Au Chapelet, 50M",Silver,France,66808385.0
summer,1900,Paris,Archery,Archery,"PETIT, Charles Frédéric",Men,"Au Cordon Doré, 33M",Bronze,France,66808385.0
summer,1900,Paris,Archery,Archery,"VAN INNIS, Hubert",Men,"Au Cordon Doré, 33M",Gold,Belgium,11285721.0
summer,1900,Paris,Archery,Archery,"THIBAUD, Victor",Men,"Au Cordon Doré, 33M",Silver,France,66808385.0
summer,1900,Paris,Archery,Archery,"FISSEUX, Emile",Men,"Au Cordon Doré, 50M",Bronze,France,66808385.0
summer,1900,Paris,Archery,Archery,"HEROUIN, Henri",Men,"Au Cordon Doré, 50M",Gold,France,66808385.0
summer,1900,Paris,Archery,Archery,"VAN INNIS, Hubert",Men,"Au Cordon Doré, 50M",Silver,Belgium,11285721.0
summer,1900,Paris,Archery,Archery,"FOULON, Emmanuel",Men,Sur La Perche À La Herse,Gold,Belgium,11285721.0
summer,1900,Paris,Archery,Archery,"DRUART, Jr.",Men,Sur La Perche À La Herse,Silver,Belgium,11285721.0
summer,1900,Paris,Archery,Archery,"SERRURIER, Auguste",Men,Sur La Perche À La Herse,Silver,France,66808385.0
summer,1900,Paris,Archery,Archery,"GLINEUX, Louis",Men,Sur La Perche À La Pyramide,Bronze,Belgium,11285721.0
summer,1900,Paris,Archery,Archery,"GRUMIAUX, Emile",Men,Sur La Perche À La Pyramide,Gold,France,66808385.0
summer,1900,Paris,Archery,Archery,"SERRURIER, Auguste",Men,Sur La Perche À La Pyramide,Silver,France,66808385.0
summer,1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",Men,100M,Bronze,Australia,23781169.0
summer,1900,Paris,Athletics,Athletics,"JARVIS, Francis",Men,100M,Gold,United States,321418820.0
